"","datetime","city","country","shape"
"1",2020-04-27,"san marcos","us","cylinder"
"2",2020-12-16,"lackland afb",NA,"light"
"3",2020-01-21,"chester (uk/england)","gb","circle"
"4",2020-01-17,"edna","us","circle"
"5",2020-01-22,"kaneohe","us","light"
"6",2020-04-27,"bristol","us","sphere"
"7",2020-02-14,"penarth (uk/wales)","gb","circle"
"8",2019-10-02,"norwalk","us","disk"
"9",2020-03-19,"pell city","us","disk"
"10",2020-05-11,"live oak","us","disk"
"11",2020-10-31,"hawthorne","us","circle"
"12",2020-06-12,"brevard","us","fireball"
"13",2020-05-11,"bellmore","us","disk"
"14",2020-02-14,"manchester","us","unknown"
"15",2020-02-14,"lexington","us","oval"
"16",2020-09-15,"harlan county","us","circle"
"17",2020-08-14,"west bloomfield","us","disk"
"18",2020-09-24,"niantic","us","disk"
"19",2020-01-11,"bermuda nas",NA,"light"
"20",2020-02-18,"willow beach",NA,"light"
"21",2019-08-10,"hudson","us","other"
"22",2020-02-01,"cardiff (uk/wales)","gb","disk"
"23",2020-07-25,"hudson","us","light"
"24",2020-02-14,"north charleston","us","light"
"25",2020-02-07,"washougal","us","oval"
"26",2020-12-12,"stoke mandeville (uk/england)","gb","cigar"
"27",2020-02-24,"san antonio","us","other"
"28",2020-03-17,"louisville","us","light"
"29",2020-02-01,"elmont","us","rectangle"
"30",2020-04-16,"poughkeepsie","us","chevron"
"31",2020-01-19,"saddle lake (canada)",NA,"triangle"
"32",2020-08-05,"san diego","us","oval"
"33",2019-01-28,"security","us","unknown"
"34",2020-04-16,"houston","us","sphere"
"35",2020-10-28,"dallas","us","unknown"
"36",2020-11-21,"manchester","us","light"
"37",2020-01-11,"gisborne (new zealand)",NA,"disk"
"38",2020-04-18,"houston","us","circle"
"39",2020-10-07,"traverse city","us","other"
"40",2019-08-10,"white plains","us","formation"
"41",2020-03-04,"leeds (uk/england)","gb","triangle"
"42",2020-10-08,"holmes/pawling",NA,"chevron"
"43",2020-08-05,"manilla (rr#1) (canada)",NA,"disk"
"44",2020-08-07,"milwaukee","us","triangle"
"45",2020-01-10,"new gloucester","us","unknown"
"46",2020-07-16,"boulder","us","light"
"47",2020-04-27,"seattle (ballard area)","us","unknown"
"48",2020-12-14,"calabasas","us","disk"
"49",2020-04-27,"centralia","us","triangle"
"50",2020-05-11,"kranklin",NA,"triangle"
"51",2020-10-12,"pense (canada)",NA,"unknown"
"52",2020-10-08,"ashburn","us","triangle"
"53",2019-01-28,"frisco","us","unknown"
"54",2020-05-09,"harrisburg","us","triangle"
"55",2019-01-28,"panama city","us","formation"
"56",2020-04-18,"stafford","us","unknown"
"57",2020-10-31,"seymour","us","cigar"
"58",2020-09-02,"weatherford","us","unknown"
"59",2020-12-14,"zlatoust (russia)",NA,"sphere"
"60",2020-10-11,"peoria","us","light"
"61",2020-03-21,"carthage","us","other"
"62",2020-12-12,"mercedies",NA,"cigar"
"63",2020-10-23,"burnt hills","us","rectangle"
"64",2020-02-18,"pinebergen","us","light"
"65",2020-07-03,"toronto (greater toronto area) (canada)","ca","sphere"
"66",2019-11-02,"puerto rico (puerto rico)",NA,NA
"67",2019-11-02,"milwaukee","us",NA
"68",2019-11-02,"oakland","us",NA
"69",2020-02-16,"higginsville","us","triangle"
"70",2019-05-24,"lake macquarie (nsw&#44 australia)",NA,"light"
"71",2020-11-26,"charleston","us","light"
"72",2020-07-08,"monroe county","us","cylinder"
"73",2019-01-28,"connersville","us","delta"
"74",2020-02-14,"mesa","us","sphere"
"75",2020-02-01,"bonaire","us","triangle"
"76",2019-01-28,"austin","us","other"
"77",2020-01-19,"turin (italy)",NA,"disk"
"78",2019-11-01,"hollywood","us","changing"
"79",2019-02-16,"phoenix (north part)","us","fireball"
"80",2019-11-01,"elgin","us","cylinder"
"81",2019-11-01,"las vegas","us","cigar"
"82",2019-08-30,"las vegas","us","circle"
"83",2020-10-30,"nyc/westchester area",NA,"triangle"
"84",2020-08-05,"spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254)","us","triangle"
"85",2019-11-01,"mooresville","us","light"
"86",2020-12-02,"st. john&#39s (canada)","ca","egg"
"87",2020-03-21,"delano","us","fireball"
"88",2019-10-19,"martinez","us","changing"
"89",2020-12-02,"st. agnes de dundee (canada)",NA,"egg"
"90",2019-10-19,"kansas city","us","unknown"
"91",2020-11-20,"dallas","us","other"
"92",2019-10-19,"san diego","us","fireball"
"93",2019-10-19,"kennewick","us","sphere"
"94",2020-11-20,"hayward","us","circle"
"95",2019-12-16,"ashland (at our home)","us","light"
"96",2020-05-24,"rachel","us","light"
"97",2020-02-14,"humphrey","us","sphere"
"98",2020-02-14,"dorset (uk/england)",NA,"flash"
"99",2020-09-19,"casey key (north end of)",NA,"triangle"
"100",2019-10-19,"elgin","us","chevron"
"101",2019-10-19,"lewiston","us","oval"
"102",2020-12-02,"perryville","us","oval"
"103",2020-12-09,"carnival cruise ship (paradise) (caribbean)",NA,"flash"
"104",2020-12-02,"boynton beach","us","other"
"105",2020-12-02,"victoria (canada)","ca","cylinder"
"106",2020-12-02,"jueanu",NA,"triangle"
"107",2020-12-02,"valley park area of st. louis",NA,"oval"
"108",2020-12-02,"brinktown","us","light"
"109",2020-12-02,"florence","us","light"
"110",2020-02-11,"seattle (west)","us","unknown"
"111",2020-05-12,"port orchard","us","diamond"
"112",2020-07-01,"rockwell city","us","triangle"
"113",2020-11-20,"sydney (nsw&#44 australia)","au","formation"
"114",2020-05-12,"vancouver (canada)","ca","other"
"115",2020-11-20,"hayward","us","circle"
"116",2020-11-20,"ottumwa","us","rectangle"
"117",2020-11-20,"fresno","us","changing"
"118",2020-11-20,"phoenix","us","triangle"
"119",2020-07-26,"virginia beach","us","triangle"
"120",2020-10-15,"hayward","us","flash"
"121",2020-10-15,"philomath","us","unknown"
"122",2020-10-28,"adelaide (pt. wakefield) (south australia)","au","circle"
"123",2020-10-15,"seattle","us","sphere"
"124",2020-10-15,"victoria (canada)","ca","unknown"
"125",2020-10-15,"cincinnati","us","other"
"126",2020-12-16,"portland","us","circle"
"127",2020-10-15,"bahamas",NA,"egg"
"128",2020-07-13,"burnie (tasmania) (australia)","au","cross"
"129",2020-05-24,"new buffulo",NA,"light"
"130",2020-01-17,"alhambra","us","oval"
"131",2020-10-15,"indianapolis","us","sphere"
"132",2020-10-15,"centreville","us","other"
"133",2020-10-15,"grand view","us","light"
"134",2020-10-31,"temperance","us","oval"
"135",2020-01-17,"crescent beach","us","formation"
"136",2020-02-01,"albuquerque","us","light"
"137",2020-10-15,"bickerton (near wetherby) (uk/england)",NA,"unknown"
"138",2020-09-02,"gleason","us","sphere"
"139",2020-12-12,"mahwah","us","triangle"
"140",2020-10-27,"worthington st. forest",NA,"other"
"141",2020-10-27,"portage la prairie (canada)","ca","changing"
"142",2020-10-27,"terre haute","us","sphere"
"143",2020-10-27,"indianapolis","us","oval"
"144",2020-10-27,"nobel (canada)","ca","unknown"
"145",2020-05-24,"morgantown","us","circle"
"146",2020-05-24,"berkeley","us","unknown"
"147",2020-10-27,"rock island","us","sphere"
"148",2020-10-27,"kedainiai (lithuania)",NA,"oval"
"149",2020-10-27,"chateauqua",NA,"formation"
"150",2020-10-27,"ripley","us","circle"
"151",2020-10-27,"faribault","us","flash"
"152",2020-10-27,"mansfield","us","light"
"153",2020-11-28,"columbia","us","light"
"154",2020-09-02,"gleason","us","sphere"
"155",2020-10-11,"seattle","us","other"
"156",2020-10-11,"apache junction","us","other"
"157",2020-10-20,"north miami beach","us","oval"
"158",2020-10-11,"edgewater","us",NA
"159",2020-10-20,"los angeles","us","egg"
"160",2020-10-30,"loretto","us","triangle"
"161",2020-05-15,"newtown (uk/wales)","gb","formation"
"162",2020-12-07,"lewisburg","us","unknown"
"163",2020-10-11,"north miami beach","us","other"
"164",2020-10-20,"east wenatchee","us","light"
