"","country","shape"
"3","gb","circle"
"7","gb","circle"
"8","us","disk"
"9","us","disk"
"10","us","disk"
"13","us","disk"
"17","us","disk"
"18","us","disk"
"22","gb","disk"
"26","gb","cigar"
"37",NA,"disk"
"41","gb","triangle"
"43",NA,"disk"
"48","us","disk"
"77",NA,"disk"
"161","gb","formation"
"166","us","disk"
"167","us","disk"
"175","gb","formation"
"177","us","disk"
"204","us","disk"
"217","us","disk"
"227","us","disk"
"246","us","disk"
"250","us","disk"
"255","gb","oval"
"257","us","disk"
"275","us","disk"
"337","ca","disk"
"348",NA,"disk"
"349","us","disk"
"350","gb","diamond"
"353","gb","changing"
"374","us","disk"
"390","gb","formation"
"404","gb","oval"
"405","us","disk"
"407",NA,"disk"
"414","gb","formation"
"426","us","disk"
"427","gb","unknown"
"430","us","disk"
"448","us","disk"
"449","us","disk"
"475",NA,"disk"
"476",NA,"disk"
"520","us","disk"
"521",NA,"disk"
"522","us","disk"
"528","us","disk"
"534","us","disk"
"535","us","disk"
"537",NA,"disk"
"540","us","disk"
"545","us","disk"
"549","us","disk"
"556","us","disk"
"560","us","disk"
"562","us","disk"
"565","us","disk"
"570","us","disk"
"574","us","disk"
"576","us","disk"
"585","us","disk"
"586","us","disk"
"587","us","disk"
"592","us","disk"
"595","us","disk"
"598","us","disk"
"599","us","disk"
"605","us","disk"
"607",NA,"disk"
"610","gb","sphere"
"613","us","disk"
"632","us","disk"
"638","us","disk"
"647","us","disk"
"659","us","disk"
"665","us","disk"
"669","us","disk"
"671","gb","light"
"703","us","disk"
"706","us","disk"
"708","us","disk"
"714","gb","fireball"
"732","us","disk"
"734",NA,"disk"
"740","gb","triangle"
"814","gb","fireball"
"852","us","disk"
"865","gb","light"
"887",NA,"disk"
"943","ca","disk"
"950",NA,"disk"
"952","us","disk"
"962","ca","disk"
"979","us","disk"
"986","us","disk"
"1000","us","disk"
"1061",NA,"disk"
"1077","gb","fireball"
"1080","us","disk"
"1083","us","disk"
"1085","us","disk"
"1086","us","disk"
"1092","us","disk"
"1096","us","disk"
"1098","gb","other"
"1101","us","disk"
"1112",NA,"disk"
"1124","us","disk"
"1125","us","disk"
"1134","us","disk"
"1136","us","disk"
"1139","gb","triangle"
"1142","us","disk"
"1148","us","disk"
"1151","gb","light"
"1166",NA,"disk"
"1208",NA,"disk"
"1221","us","disk"
"1228","gb","light"
"1229","gb","triangle"
"1253","us","disk"
"1263","us","disk"
"1302","us","disk"
"1339",NA,"disk"
"1340","us","disk"
"1343","us","disk"
"1364","gb","unknown"
"1365","us","disk"
"1401","us","disk"
"1414","us","disk"
"1416","gb","unknown"
"1424","us","disk"
"1430","gb","fireball"
"1431","gb","light"
"1433","us","disk"
"1445","us","disk"
"1449","gb","light"
"1461","us","disk"
"1482","gb","circle"
"1483",NA,"disk"
"1492","ca","disk"
"1533","gb","oval"
"1561","gb","circle"
"1574","gb","light"
"1575","gb","fireball"
"1617","us","disk"
"1669","us","disk"
"1692","us","disk"
"1719","gb","triangle"
"1755","us","disk"
"1762",NA,"disk"
"1767","us","disk"
"1790","gb","other"
"1858","us","disk"
"1871","us","disk"
"1874","us","disk"
"1879",NA,"disk"
"1880","us","disk"
"1892","us","disk"
"1893","us","disk"
"1898","gb","cigar"
"1901","us","disk"
"1915","us","disk"
"1918","us","disk"
"1920","gb","unknown"
"1922","us","disk"
"1924","us","disk"
"1927",NA,"disk"
"1930","us","disk"
"1932","us","disk"
"1934","us","disk"
"1942","us","disk"
"1943","us","disk"
"1947","us","disk"
"1950","us","disk"
"1951","us","disk"
"1952","us","disk"
"1958","us","disk"
"1963","us","disk"
"1965","us","disk"
"1966",NA,"disk"
"1980","us","disk"
"1989","us","disk"
"1990",NA,"disk"
"1991","us","disk"
"1996","us","disk"
"1999","us","disk"
"2003","us","disk"
"2004",NA,"disk"
"2008","us","disk"
"2009","us","disk"
"2013","us","disk"
"2017","us","disk"
"2022","us","disk"
"2023","us","disk"
"2024","us","disk"
"2025","us","disk"
"2029","us","disk"
"2041","gb","circle"
"2053","us","disk"
"2067","us","disk"
"2081","us","disk"
"2083","us","disk"
"2089","us","disk"
"2094","us","disk"
"2148","us","disk"
"2159","us","disk"
"2160","gb","formation"
"2170","us","disk"
"2171",NA,"disk"
